date,temperature(¡ÆC),rainfall(mm),wind speed(m/s),humidity(%),sunshine(hr)
2020-12-31,1.9,3.1,3.9,91,0.1
2021-01-01,5.4,0,3.2,53,0
2021-01-02,7.1,0,4,70,0
2021-01-03,5.5,,2.5,54,0.6
2021-01-04,7.9,,2.6,52,0.2
2021-01-05,6.3,,7.3,67,0
2021-01-06,4.1,0,5,63,0
2021-01-07,-1.4,1.8,8.5,77,0
2021-01-08,-1.7,1.3,4.6,79,0
2021-01-09,1.8,0,5.8,67,0
2021-01-10,4.1,0,4.1,63,0
2021-01-11,3.1,5.6,1,89,0
2021-01-12,4.3,,3.7,70,0.1
2021-01-13,12.6,,5.5,40,1
2021-01-14,13,,3.6,64,1
2021-01-15,17.3,,5,50,1
2021-01-16,5.2,,4.4,64,0.2
2021-01-17,3.8,0.3,6.9,64,0.1
2021-01-18,8.5,0,7.8,45,0.4
2021-01-19,5.4,,2.6,43,1
2021-01-20,12.8,,3.3,49,1
2021-01-21,16.8,,1.5,48,0.8
2021-01-22,13.3,0,1,87,0
2021-01-23,13,9.3,4.7,95,0
2021-01-24,13,,4.3,61,1
2021-01-25,13.4,,4.7,61,0.1
2021-01-26,10,10.6,5.4,94,0
2021-01-27,9.4,,2,40,1
2021-01-28,9.7,,6.3,53,0.3
2021-01-29,2.5,0,4.6,59,0.2
2021-01-30,10.5,,5.2,44,1
2021-01-31,12.3,,1.1,52,0.2
2021-02-01,10.8,3.4,4.1,74,0
2021-02-02,4.7,,3.4,52,1
2021-02-03,7.6,,2.1,44,1
2021-02-04,7.2,,3.4,47,1
2021-02-05,8.6,,1.4,45,0
2021-02-06,13.3,,3.2,63,1
2021-02-07,14.6,,2.5,67,1
2021-02-08,4.8,,3.2,57,0.4
2021-02-09,5.6,,1.8,58,0.6
2021-02-10,9,,3,53,1
2021-02-11,11.9,,2.6,58,0
2021-02-12,13.6,,3.2,55,0.8
2021-02-13,15,,4.4,56,0.9
2021-02-14,15.3,1.5,1.3,86,0.1
2021-02-15,8.3,0,6.4,82,0
2021-02-16,7.1,,3.8,55,1
2021-02-17,2.5,0.1,7.4,63,0.1
2021-02-18,3.3,0.2,9.1,62,0.3
2021-02-19,9.7,,4.1,50,1
2021-02-20,17.4,,6.7,49,1
2021-02-21,22.2,,6.3,28,1
2021-02-22,22.9,,7,31,1
2021-02-23,9.1,,3.3,45,1
2021-02-24,11.5,,4.2,49,1
2021-02-25,14.3,,3.4,56,0.3
2021-02-26,11.3,0,7.8,79,0
2021-02-27,12,,6.5,58,0.1
2021-02-28,16.3,,5.1,62,0.2
2021-03-01,20.8,0.1,3.2,64,0
2021-03-02,8.4,,3.7,60,0.5
2021-03-03,12.2,,3.2,48,1
2021-03-04,11.5,0.8,1,88,0
2021-03-05,13.4,,2.5,75,0.9
2021-03-06,12.6,,1.4,72,0
2021-03-07,10.6,,4.8,71,0
2021-03-08,11.4,,4.5,70,0.9
2021-03-09,12.3,,4.3,73,0.2
2021-03-10,12.7,,3.7,53,1
2021-03-11,15.5,,5,72,1
2021-03-12,11,2.9,4.6,94,0
2021-03-13,13.9,,2.6,69,0.9
2021-03-14,14,,2.4,61,1
2021-03-15,14.7,,1.9,60,1
2021-03-16,13.3,0.3,2.8,86,0
2021-03-17,12.7,,4,54,1
2021-03-18,14.7,,5.9,72,0.8
2021-03-19,14.5,,3.8,72,0
2021-03-20,15.5,0.1,2.8,96,0
2021-03-21,11.8,,6.2,60,0.7
2021-03-22,11.5,,5.3,38,1
2021-03-23,15.3,,5.5,52,1
2021-03-24,15.2,,3.7,53,0.8
2021-03-25,15.3,,2.6,65,1
2021-03-26,17.3,,3.6,57,1
2021-03-27,21.3,,4.9,53,0
2021-03-28,16.6,,5.1,67,0.8
2021-03-29,16.9,,3.3,37,1
2021-03-30,16.8,,2.5,32,1
2021-03-31,18.7,,5.3,57,1
2021-04-01,16.9,,4.2,65,0
2021-04-02,19.7,,4.2,68,0.4
2021-04-03,21.5,0,1.4,76,0
2021-04-04,11.6,,4.3,87,0
2021-04-05,13.8,,4.1,50,1
2021-04-06,15.1,,2.8,60,1
2021-04-07,17.2,,2.9,48,1
2021-04-08,18.3,,2.5,30,1
2021-04-09,15.5,,5.4,47,1
2021-04-10,15.7,,6.5,57,1
2021-04-11,20,,4.6,44,1
2021-04-12,18,1.1,1.6,83,0
2021-04-13,13.1,,3.5,78,0
2021-04-14,12.6,,3.5,44,1
2021-04-15,15.4,,5,52,1
2021-04-16,17.4,,2.7,61,1
2021-04-17,15.4,,4.5,51,1
2021-04-18,15.6,,4.5,45,1
2021-04-19,18,,4.3,28,1
2021-04-20,16.8,,2.8,43,1
2021-04-21,20,,2.9,50,0.6
2021-04-22,24.3,,4,32,0.2
2021-04-23,22.6,,5,55,0.8
2021-04-24,19.2,,4.3,73,0.5
2021-04-25,17.9,,2.2,64,1
2021-04-26,20.2,,3.7,41,1
2021-04-27,20.9,,2.9,40,0.4
2021-04-28,18.1,,2.7,73,1
2021-04-29,20.5,,4.2,64,1
2021-04-30,18.8,,5.3,60,1
2021-05-01,15.3,,4.1,61,0.4
2021-05-02,15.5,,5.4,57,0.8
2021-05-03,17.4,,2.8,68,1
2021-05-04,21,0,6.3,72,0
2021-05-05,21.1,,3.3,22,1
2021-05-06,22.1,,2.3,43,1
2021-05-07,26.3,,6.8,44,1
2021-05-08,19.2,,3.6,50,1
2021-05-09,22.2,,3.7,20,1
2021-05-10,22.4,,2.7,41,1
2021-05-11,19.3,,5.5,82,0
2021-05-12,19.9,,4.1,69,0
2021-05-13,21.6,,5.1,59,1
2021-05-14,23.7,,4.2,71,0
2021-05-15,28.2,,7.4,63,0.9
2021-05-16,25.3,3.6,5.3,79,0.1
2021-05-17,17.1,,4.4,90,0
2021-05-18,20.7,,3.5,58,1
2021-05-19,20.9,,3.4,64,1
2021-05-20,19.4,,2.3,92,0
2021-05-21,19.3,,3.7,57,0.8
2021-05-22,19.8,,2.4,66,1
2021-05-23,20.8,,1.6,66,1
2021-05-24,21.2,,4.7,68,1
2021-05-25,25,,7,60,1
2021-05-26,22.5,0,0.8,30,0
2021-05-27,22.1,,5.7,75,0.2
2021-05-28,27.4,,8.3,58,1
2021-05-29,21.9,,2.3,58,1
2021-05-30,24.7,,3.6,58,1
2021-05-31,25.2,,2.9,59,1
2021-06-01,23.4,,4,69,1
2021-06-02,28.8,,2.9,42,0.3
2021-06-03,28.9,,3.1,58,0.8
2021-06-04,22.6,,3.3,66,0.3
2021-06-05,27.8,,5.1,47,0.6
2021-06-06,25,,3.1,56,1
2021-06-07,22.8,,3.9,71,1
2021-06-08,26.8,,1.6,61,1
2021-06-09,28.3,,4,69,1
2021-06-10,26.7,,2.1,57,0
2021-06-11,21.9,7.6,1.9,99,0
2021-06-12,24.1,,2.2,82,0.9
2021-06-13,21.8,,2.5,81,0.1
2021-06-14,21.3,,2.9,85,0.1
2021-06-15,23.7,0.6,2.2,87,0
2021-06-16,20.9,0,3.9,92,0
2021-06-17,21.4,,2.9,85,0
2021-06-18,23.1,,3.2,85,0
2021-06-19,24.6,,2.3,76,1
2021-06-20,23.3,,2.7,80,0.8
2021-06-21,26.5,,3.4,67,1
